"LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13"
pgc,SNIa,1PGC,Nest,RA,Dec,z3k,B,eB,x1,ex1,c,ec,mu,emu,Sample,Ref
%7s,%9s,%7d,%6d,%11s,%11s,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%5s,%2d
---,,,,hms,dms,,mag,mag,,,,,mag,mag,,
"The Catalogue of Principal Galaxies (PGC) Number","Supernova identification","PGC ID of dominant group member","Nest ID in 2MASS group catalog by Tully(2015)","Right ascension J2000","Declination J2000","Redshift in CMB frame","B magnitude at maximum","Error in B magnitude at maximum","SALT2 light curve width x1 parameter","Error in SALT2 x1 parameter","SALT2 color c parameter","Error in SALT2 c parameter","Distance modulus","Error in distance modulus","LOSS sample","LOSS reference code"
53552,"SN 2008af",53552,105065,"14 59 28.50","+16 39 12.3",0.034,16.922,0.077,-1.471,0.182,0.005,0.040,35.752,0.159,Low-z,5
53750,"SN 2004bw",53750,108843,"15 03 46.75","-03 18 16.4",0.022,15.771,0.027,-1.142,0.078,-0.075,0.025,34.901,0.168,Low-z,2
54215,"SN 1999dg",54215,108064,"15 11 28.41","+13 29 05.7",0.023,15.912,0.036,-1.666,0.168,-0.086,0.034,35.001,0.176,Low-z,2
56025,"SN 2002ck",56025,102952,"15 47 00.75","-00 59 25.5",0.030,16.263,0.044,0.157,0.106,-0.057,0.029,35.528,0.161,Low-z,5
56286,"SN 2000cf",0,0,"15 52 56.19","+65 56 12.7",0.036,17.053,0.033,-0.510,0.090,-0.029,0.028,36.131,0.150,Low-z,1
56437,"SN 2007ap",56482,103159,"15 56 23.06","+16 30 57.9",0.016,15.340,0.044,-1.582,0.101,-0.088,0.032,34.449,0.199,Low-z,5
56812,"SN 1999cc",56812,102346,"16 02 42.03","+37 21 34.4",0.032,16.772,0.028,-1.550,0.132,-0.011,0.027,35.640,0.155,Low-z,1
57064,"SN 2000cp",56962,100007,"16 05 27.62","+17 49 48.8",0.034,18.080,0.039,-0.566,0.510,0.340,0.031,35.982,0.168,Low-z,2
57341,"SN 2006cc",57341,106409,"16 09 56.44","+43 07 35.0",0.033,17.792,0.028,0.288,0.075,0.333,0.027,35.841,0.152,Low-z,5
57404,"SN 2008cl",57404,102983,"16 11 04.35","+52 27 08.0",0.064,18.145,0.069,-1.226,0.545,-0.132,0.055,37.446,0.194,Low-z,2
57502,"SN 2007ai",57502,105973,"16 12 53.74","-21 37 48.7",0.032,16.897,0.033,1.185,0.266,0.151,0.032,35.653,0.168,Low-z,5
57684,"SN 2002de",57728,100041,"16 16 30.38","+35 42 30.2",0.028,16.679,0.020,0.308,0.079,0.104,0.019,35.455,0.150,Low-z,2
57937,"SN 2007bj",57937,109094,"16 22 10.59","-01 30 51.4",0.017,14.616,0.050,1.150,0.176,-0.194,0.027,34.460,0.191,Low-z,2
58525,"SN 2001az",0,0,"16 34 27.71","+76 01 46.8",0.041,16.919,0.048,1.217,0.598,-0.084,0.032,36.423,0.164,Low-z,5
59076,"SN 1994Q",0,0,"16 49 51.13","+40 25 55.8",0.030,16.375,0.072,0.760,0.328,0.045,0.042,35.405,0.166,Low-z,8
59458,"SN 2007ae",84830,100054,"17 01 51.95","+79 01 54.6",0.064,17.783,0.042,1.710,0.322,-0.020,0.033,37.156,0.157,Low-z,5
59769,"SN 2001cp",59769,102872,"17 11 02.58","+05 50 26.8",0.022,15.626,0.028,0.926,0.090,-0.039,0.027,34.945,0.168,Low-z,2
59808,"SN 2006mp",0,0,"17 12 00.20","+46 33 20.8",0.023,15.986,0.029,0.988,0.200,0.002,0.029,35.185,0.171,Low-z,5
