"Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa"
pgc,1PGC,Nest,SNIa,DM,eDM,Vcmb,Vrc3,J2000,RA,De,Glon,Glat,SGL,SGB,Ty,Ag,SSubsamp
%7s,%7d,%6d,%29s,%5.2f,%4.2f,%5d,%5d,%16s,%10.6f,%10.6f,%8.4f,%8.4f,%8.4f,%8.4f,%4s,%5.3f,%10s
---,,,,mag,mag,km/s,km/s,"hms,dds",deg,deg,deg,deg,deg,deg,,mag,
"The Catalogue of Principal Galaxies (PGC) Number","PGC ID of dominant group member","Nest ID in 2MASS group catalog by Tully(2015)","Supernova identification","Distance modulus","Error in distance modulus","Velocity of supernova in CMB frame","Heliocentric velocity of supernova host from RC3","J2000 right ascension and declination of host","Right ascension (J2000) of SNII in degrees","Declination (J2000) of SNII in degrees","Galactic Longitude of host","Galactic Latitude of host","Supergalactic Longitude of host","Supergalactic Latitude of host","Type code given in RC3","Extinction at B band from RC3","Subsample in Stahl collection"
15708,0,0,SN2006lf,33.39,0.29,3888,3958,J043828.3+440214,69.622900,44.033700,159.9165,-1.9343,0.5361,-22.6190,3.1,4.149,standard
15760,15774,201729,2017hpa,33.95,0.25,4635,4686,J043951.5+070319,69.961500,7.065200,189.8525,-25.0676,328.2006,-49.5287,5.2,0.781,LOSS2
15774,15774,201729,2010kg,34.24,0.24,4641,4988,J044009.1+072058,70.035000,7.350000,189.6304,-24.8410,328.6370,-49.4217,2.1,0.674,LOSS2
15937,15937,209603,sn1995bd,33.85,0.23,4314,4617,J044519.6+110404,71.299900,11.053000,187.1064,-21.6657,334.3148,-48.2022,4,2.113,A1
16390,16386,200278,sn2001ep,33.68,0.24,3864,3937,J045659.6-044525,74.293700,-4.734600,203.5980,-27.5503,313.9759,-59.0223,3.1,0.205,A1
16488,16493,200206,2009F,33.66,0.16,3870,3884,J045922.9-110756,74.848200,-10.869400,210.3998,-29.8804,302.0722,-61.5357,-2.6,0.450,CSP
16537,16537,100257,"sn2006le + 2011M",34.38,0.14,5180,5225,J050043.7+621439,75.173100,62.244100,147.8877,12.1809,13.4227,-8.8656,3.1,1.772,A1/LOSS2
16595,16595,210457,sn2006hb,33.83,0.17,4614,4591,J050200.7-210813,75.474200,-21.105600,221.5458,-33.0851,280.6805,-62.6931,-3.2,0.118,A1
16650,16650,208442,2009ad,35.30,0.13,8490,8514,J050333.2+063926,75.889100,6.659900,193.7134,-20.3687,333.4116,-54.4787,4,0.483,CSP
16654,16654,208564,iPTF13dge,34.21,0.33,4737,4754,J050337.0+013424,75.896200,1.571600,198.3947,-23.0014,326.0920,-57.5005,5.1,0.387,snapshot
16899,16899,202615,SN2005el,33.95,0.17,4461,4470,J051146.1+051202,77.950600,5.197100,196.1725,-19.3953,333.7218,-56.9817,-2,0.493,A1
17176,75312,200017,SN2004gc,35.35,0.16,9623,9395,J052149.9+064037,80.458900,6.675700,196.1987,-16.4904,338.8693,-57.8535,-3,0.892,A1
17187,17130,200174,LSQ12fxd,35.25,0.32,9401,9367,J052217.2-253627,80.570800,-25.596400,228.2600,-30.0964,268.0910,-66.2088,4,0.109,snapshot
17422,17422,201039,2013ex,33.47,0.26,3172,3126,J053248.4-140346,83.194300,-14.045900,217.1552,-23.6545,298.4702,-70.0770,4.4,0.622,LOSS2
17509,1504501,200146,sn1999ek,34.16,0.19,5273,5254,J053632.4+163829,84.160900,16.658700,189.4015,-8.2302,354.7087,-52.3021,4.1,2.454,A1
17616,17616,209519,2010ju,34.30,0.37,4602,4569,J054155.6+182933,85.483300,18.497500,188.4857,-6.1690,358.0164,-51.3553,2,1.814,LOSS2
17787,17787,103922,SN1993ac,36.70,0.29,14675,14690,J054624.6+632133,86.598300,63.368600,149.7168,17.2090,18.7382,-9.8138,-4,0.701,snapshot
18089,18089,107211,SN2001gc,34.47,0.30,5789,5789,J055525.3+515438,88.858900,51.909500,160.8445,13.0631,16.6589,-21.1489,5.2,0.910,snapshot
18373,18373,202739,sn2003kf,32.55,0.21,2305,2216,J060434.9-123729,91.183600,-12.655600,219.1545,-16.0207,309.0038,-77.3950,3,1.353,A1
18467,18637,100343,sn2006n,33.96,0.17,4284,4280,J060830.4+644325,92.153900,64.771000,149.4422,19.9719,21.4508,-9.0776,-5,0.416,A1
18622,18622,201328,ASASSN-15ss,35.95,0.20,10840,10672,J061234.8-141528,93.139200,-14.257500,221.5403,-14.9426,303.1115,-79.6507,1.5,1.004,Foundation
18747,0,0,sn1996bv,34.10,0.18,5004,4997,J061613.6+570305,94.077500,57.095200,157.3379,17.9731,20.9592,-16.7913,5.9,0.455,A1
18880,18880,210908,SN2012hr,32.49,0.35,2362,2267,J062138.9-594424,95.410200,-59.714100,268.8653,-26.8711,212.4426,-45.5474,3.9,0.195,snapshot
19325,19409,101154,sn2002kf,34.76,0.19,5843,5786,J063716.6+495101,99.257300,49.825200,165.5907,18.2463,23.3139,-24.3240,,0.505,A1
19423,19386,200125,2008bq,35.71,0.13,10325,10195,J064103.1-380208,100.260500,-37.961400,247.0010,-18.2226,213.6384,-67.4620,1.5,0.393,CSP
19512,0,0,2016hvl,33.24,0.27,4056,3925,J064400.6+122407,101.009000,12.396600,201.0396,4.0005,20.7643,-61.7577,2.3,1.895,LOSS2
19558,19558,212045,SN2004S,33.27,0.34,2956,2793,J064546.7-311349,101.431300,-31.231300,240.7903,-14.7860,213.7825,-74.3361,-1,0.433,snapshot
19622,19622,101192,sn1997e,33.89,0.18,3984,4060,J064746.2+742855,101.857000,74.496800,140.2202,25.8204,25.9658,0.1981,-2,0.554,A1
19788,19732,101084,sn1998ec,34.86,0.21,6029,5964,J065306.9+500203,103.261400,50.031400,166.3008,20.7116,26.1156,-24.2556,3,0.366,A1
19913,19913,110686,2008C,34.25,0.15,5117,4992,J065711.7+202615,104.298000,20.437100,195.1721,10.3798,27.3158,-53.8497,0,0.363,CSP
19925,19925,201306,2008O,36.23,0.13,11788,11653,J065735.1-454843,104.393600,-44.187700,255.7976,-18.0790,205.5578,-59.8922,-2.1,0.382,CSP
20020,20020,101998,SN2005na,35.25,0.16,8037,7891,J070136.8+140807,105.407300,14.133600,201.3967,8.6075,29.6615,-60.1113,1,0.337,A1
20136,20136,100017,sn2000b,34.41,0.26,5972,5903,J070542.0+503452,106.412300,50.636000,166.3596,22.7931,28.3018,-23.6684,-4.8,0.298,A1
20363,20363,202956,2009ag,33.07,0.19,2773,2590,J071140.4-264218,107.920000,-25.314900,239.0290,-7.7477,187.7257,-78.3416,3.1,1.095,CSP
20364,20136,100017,2007au,34.73,0.18,6296,6171,J071141.7+495146,107.942100,49.853700,167.3864,23.5309,29.3988,-24.3250,-3,0.291,LOSS1
20384,20406,100987,2016ys,35.53,0.14,8748,8497,J071215.1+071427,108.059600,7.239800,208.8128,7.9058,37.2927,-66.6569,3.8,0.298,Foundation
20513,0,0,sn2000fa,34.77,0.17,6529,6378,J071529.7+232534,108.910000,23.407800,194.1688,15.4767,33.8535,-50.5461,9.8,0.291,A1
20551,20551,211206,2008fp,31.69,0.25,1886,1707,J071631.2-291929,109.135800,-28.674500,241.8771,-7.9651,187.3920,-75.5129,-1.8,0.849,CSP
20592,20592,112156,2015I,32.79,0.19,2623,2275,J071741.0+232124,109.440400,23.344600,194.4409,15.9107,34.6513,-50.5434,5.8,0.287,Foundation
20602,20602,101102,sn2003ch,35.76,0.18,8868,8580,J071757.6+094122,109.520300,9.728900,207.2226,10.2557,39.4254,-63.9742,-3,0.304,A1
21020,21020,112544,sn1997do,33.37,0.19,3145,3033,J072642.7+470538,111.720900,47.101200,171.0001,25.2699,32.4858,-26.7948,3.7,0.267,A1
