"Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF"
pgc,Name,VCC,dist,eD,DM,edm,Vhel,1PGC,Nest,Gp,Ty,RA_DEJ,glon,glat,sgl,sgb,Ag,Area,Rad,uz,euz,gi,egi,gz,egz,Mbar,eMbar
%7s,%7s,%7s,%4.1f,%3.1f,%5.2f,%4.2f,%5d,%7d,%6d,%5s,%4.1f,%16s,%8.4f,%8.4f,%8.4f,%8.4f,%5.3f,%5.2f,%5.1f,%5.3f,%5.3f,%5.3f,%5.3f,%5.3f,%5.3f,%5.2f,%4.2f
---,,,Mpc,Mpc,mag,mag,km/s,,,,,hmsdms,deg,deg,deg,deg,mag,amin^2,asec,mag,mag,mag,mag,mag,mag,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Common name","Virgo Cluster Catalog ID","Distance (see Cantiello et al. for zero point)","Uncertainty in distance (excluding zero point)","Distance modulus","Error in distance modulus","Heliocentric velocity","PGC ID of dominant group member","Group ID in 2MASS group catalog of Tully (2015)","Group assignment by Cantiello et al.","Morphological type code from RC3","Right ascension, Declination epoch 2000","Galactic longitude","Galactic latitude","Supergalactic longitude","Supergalactic latitude","Galactic obscuration at B band from RC3",Area,Radius,"u*-z color","Uncertainty in u*-z color","g-i color","Uncertainty in g-i color","g-z color","Uncertainty in g-z color","Surface brightnes fluctuation absolute magnitude Mbar","Uncertainty in Mbar"
41361,NGC4486,VCC1316,17.0,0.4,31.15,0.04,1283,41220,100002,V,-4.3,J123049.5+122326,283.7800,74.4907,102.8813,-2.3477,0.100,9.13,82.8,2.890,0.001,1.091,0.001,1.529,0.000,30.61,0.03
41363,NGC4488,VCC1318,15.7,0.7,30.98,0.10,980,41220,100002,V,-0.1,J123051.4+082136,287.4305,70.6099,106.7519,-3.4887,0.089,1.52,33.9,2.438,0.009,0.910,0.003,1.140,0.008,29.95,0.04
41365,NGC4489,VCC1321,14.5,0.9,30.80,0.14,940,41220,100002,V,-4.7,J123052.2+164532,277.2231,78.5905,98.6988,-1.0809,0.120,2.44,37.8,0.000,0.000,0.946,0.003,1.171,0.009,29.75,0.05
41457,NGC4497,VCC1368,15.2,1.0,30.91,0.15,1042,41220,100002,V,-1.1,J123132.5+113729,285.2016,73.8077,103.6659,-2.3987,0.189,2.96,47.6,2.399,0.018,0.936,0.008,1.175,0.017,29.80,0.04
41538,NGC4503,VCC1412,16.5,0.8,31.08,0.10,1353,41220,100002,V,-1.7,J123206.2+111035,286.0996,73.4131,104.1352,-2.3945,0.217,1.07,38.7,2.845,0.007,1.098,0.002,1.350,0.007,30.44,0.05
41772,NGC4526,VCC1535,18.4,1.0,31.32,0.12,577,41220,100002,V,-1.9,J123403.0+074157,290.1592,70.1386,107.6101,-2.9163,0.096,1.57,54.4,2.637,0.005,1.021,0.002,1.308,0.005,30.50,0.09
41781,NGC4528,VCC1537,17.0,1.6,31.16,0.20,1369,41220,100002,V,-2.0,J123406.1+111916,287.6453,73.6763,104.1353,-1.8837,0.198,2.70,44.3,2.403,0.032,0.942,0.009,1.154,0.031,30.04,0.08
41806,NGC4531,VCC1552,15.5,2.2,30.95,0.31,107,41220,100002,V,-0.1,J123415.9+130431,286.1349,75.3841,102.4636,-1.3486,0.184,2.20,45.6,2.492,0.007,0.965,0.003,1.194,0.007,29.93,0.29
41876,NGC4540,VCC1588,17.6,1.4,31.22,0.17,1285,41220,100002,V,6.2,J123450.8+153305,283.6820,77.7985,100.1290,-0.5112,0.150,0.50,47.7,2.133,0.024,0.827,0.006,1.018,0.024,29.83,0.03
41934,NGC4548,VCC1615,18.6,1.5,31.35,0.18,481,41220,100002,V,3.1,J123526.5+142946,285.6942,76.8294,101.1818,-0.6724,0.165,2.64,129.3,2.514,0.024,0.911,0.012,1.248,0.023,30.37,0.07
41943,NGC4550,VCC1619,14.6,1.0,30.82,0.14,410,41220,100002,V,-2.0,J123530.6+121315,288.0933,74.6319,103.3694,-1.2990,0.172,2.06,40.7,2.291,0.016,0.924,0.007,1.104,0.015,29.59,0.06
41963,NGC4551,VCC1630,16.9,0.8,31.14,0.11,1200,41220,100002,V,-4.9,J123538.0+121550,288.1659,74.6808,103.3365,-1.2580,0.169,2.43,39.4,2.792,0.008,1.086,0.004,1.314,0.008,30.45,0.05
41968,NGC4552,VCC1632,16.7,0.7,31.11,0.10,323,41220,100002,V,-4.6,J123539.8+123322,287.9332,74.9667,103.0582,-1.1682,0.178,4.07,51.3,2.822,0.002,1.085,0.001,1.383,0.002,30.46,0.08
42051,NGC4564,VCC1664,16.6,1.0,31.09,0.14,1132,41220,100002,V,-4.6,J123627.0+112621,289.5602,73.9206,104.1843,-1.2982,0.145,3.81,54.0,2.579,0.012,0.981,0.004,1.251,0.012,30.19,0.07
