pgc,objname,Modc,1PGC,Nest,al2000,de2000,V_hel,T,GrpID,AgB,VmI,e_VmI,N_VmI,Ibar,e_Ibar,N_Ibar,Mod01,e_Mod,Rav,ratio_in,ratio_out,Qmax,PD,NbarI,Sigma,Qual,icnt,NBG_ID,LH_ID,fil
%7s,%8s,%5.2f,%7d,%6d,%7.3f,%7.3f,%5d,%2d,%3d,%5.2f,%6.3f,%5.3f,%2d,%5.2f,%4.2f,%2d,%5.2f,%4.2f,%5.1f,%5.2f,%5.2f,%4.1f,%5.2f,%5.2f,%5.3f,%4s,%4d,%8s,%4d,%5.1f
---,,mag,,,h,deg,km/s,,,mag,mag,mag,,mag,mag,,mag,mag,arcsec,,,,,,,,,,,
"The Catalogue of Principal Galaxies (PGC) Number","Name used by Tonry et al. (Paper IV)","Distance modulus: adjusted Blakeslee et al. 2010, ApJ 694, 556","PGC ID of dominant group member","Nest ID from 2MASS group catalog of Tully(2015)","Right ascension in decimal degrees epoch 2000","Declination in decimal degrees epoch 2000","Heliocentric velocity","Hubble type","Group ID from Faber et al. 1989, ApJS, 69, 763","Galactic B absorption from Schlegel et al. 1998, ApJ, 500, 525","V-I color at radius contributing to SBF","Uncertainty in V-I color","Number contributing measures","I magnitude assoc w fluctuation power spectrum","Uncertainty in Ibar","Number of contributing measures","Distance modulus: original Tonry et al. 2001","Uncertainty in distance modulus","Mean annular radius (arcsec) contributing to SBF measurement","Ratio innermost/mean radii contributing to SBF","Ratio outermost/mean radii contributing to SBF","Quality Q=log[Ne(mbar)/PD^2; Ne(mbar)=# e- from obj w mag mbar; PD= psf_FWHM x Vcmb/1000","Product (psf_FWHM) x (Vcmb/1000)","Fluctuation star count at I band: Nbar=mbar-mT - difference fluct. and total mags = 2.5log(total lum/lum typical star",,Quality,"Internal group reference number","Nearby Galaxies Catalog (1988) group ID number","Lavaux-Hudson group ID from 2MASS++ catalog","Filament ID from V8k catalog"
14582,N1533,31.58,14765,200054,62.464,-56.121,764,-3,211,0.07,1.198,0.018,1,30.13,0.37,1,31.65,0.38,43.7,0.69,1.38,5.7,1.14,20.59,2.241,good,933,"53 -1  1",0,53.1
14659,N1543,31.48,14765,200054,63.180,-57.737,1148,-2,211,0.12,1.173,0.016,2,29.88,0.14,1,31.51,0.17,52.1,0.28,2.25,4.2,1.11,20.80,2.176,good,933,"53 -1  1",,53.1
14695,N1537,31.84,14638,200507,63.421,-31.646,1384,-3,210,0.11,1.096,0.018,1,29.84,0.16,1,31.83,0.19,39.8,0.38,3.03,3.0,1.72,20.47,0.000,good,961,"53-13 13",,53.5
14757,N1549,31.47,14765,200054,63.938,-55.592,1202,-5,211,0.05,1.168,0.016,2,29.81,0.15,1,31.47,0.18,24.2,0.30,2.42,3.5,1.13,21.54,2.318,good,933,"53 -1  1",,53.1
14765,N1553,31.34,14765,200054,64.043,-55.781,1201,-2,211,0.05,1.159,0.016,2,29.64,0.14,1,31.34,0.17,29.0,0.25,2.02,3.3,1.31,21.47,2.255,good,933,"53 -1  1",,53.1
14965,N1574,31.47,14765,200054,65.496,-56.974,1041,-3,211,0.07,1.162,0.016,2,29.80,0.19,1,31.49,0.21,34.9,0.42,1.68,4.0,1.10,20.80,2.305,good,933,"53 -1  1",,53.1
15153,N1596,30.95,14765,200054,66.907,-55.027,1510,-2,211,0.04,1.171,0.016,2,29.27,0.13,1,30.92,0.16,20.7,0.35,2.83,2.2,1.57,19.43,2.238,good,933,"53 -1  1",4674,53.1
16386,N1700,33.31,16386,200278,74.234,-4.868,3891,-5,100,0.19,1.163,0.011,4,31.54,0.14,1,33.23,0.16,26.1,0.28,2.24,0.6,2.88,21.67,0.000,poor,0,,4585,34.5
19476,N2271,32.55,19476,209711,100.718,-23.476,2596,-3,0,0.53,1.234,0.029,1,31.15,0.25,1,32.51,0.28,20.5,0.36,2.85,1.9,1.93,20.64,0.000,good,635,"34 -8  8",,34.5
19619,N2293,31.18,19617,200113,101.929,-26.753,2037,-1,0,0.52,1.237,0.013,2,29.81,0.40,1,31.16,0.41,10.7,0.68,1.36,2.6,2.03,20.84,0.000,good,628,"34  7  7",,34.0
20047,N2325,32.08,20047,200160,105.669,-28.697,2185,-5,0,0.51,1.164,0.014,2,30.36,0.14,1,32.04,0.16,18.5,0.29,2.28,2.1,2.14,21.28,0.000,good,629,"34  7  7",4712,34.0
20916,N2380,32.09,20916,208475,110.980,-27.529,1782,-2,0,1.32,1.110,0.009,4,30.14,0.35,1,32.05,0.35,15.2,0.48,1.93,2.1,1.63,21.22,0.000,good,632,"34  7  7",,34.0
21293,E208-021,30.64,21293,202283,113.486,-50.442,1085,-3,0,0.75,1.146,0.018,1,28.90,0.18,1,30.66,0.20,40.6,0.74,1.49,4.0,1.43,19.49,0.000,good,964,"53-15 15",,54.0
21325,N2434,31.65,21373,200281,113.715,-69.284,1367,-5,212,1.07,1.098,0.055,1,29.70,0.15,1,31.67,0.29,26.5,0.28,2.21,4.1,1.43,20.56,0.000,good,968,"53-17 17",4714,53.0
23304,I2311,31.87,23222,100277,124.690,-25.371,1844,-5,0,0.62,1.136,0.027,1,30.04,0.14,1,31.84,0.20,19.3,0.38,3.03,2.3,2.09,19.98,0.000,good,541,"31-21 21",1035,31.5
23313,N2549,30.52,23313,112232,124.743,57.803,1039,-2,0,0.28,1.163,0.012,2,28.82,0.27,1,30.51,0.28,33.0,0.67,1.33,3.0,1.39,18.87,0.000,good,179,"13  0  0",,15.0
23701,N2592,32.12,23701,111770,126.783,25.971,2046,-5,0,0.26,1.205,0.010,3,30.55,0.42,2,32.05,0.43,27.9,0.39,1.57,1.1,2.26,19.76,0.000,good,579,"32  0  0",1167,35.2
24749,N2634,32.67,24723,101227,132.105,73.967,2258,-5,283,0.09,1.154,0.022,1,30.90,0.67,1,32.62,0.68,24.4,0.67,1.35,1.5,2.22,20.94,0.000,good,135,"12-17 17",1048,12.0
