# SGA_ID DESI_NAME RA Dec z_desi V_0p4R26  V_0p4R26_err  V_PEC  V_ERR_PEC
1117718 DESIXJ14211756+0424522 215.323151 4.414500 0.0279 48 2 309 518
1118664 DESIXJ09003443-0615195 135.143452 -6.255417 0.0442 136 2 5735 599
1122401 DESIXJ09585380-0033414 149.724182 -0.561491 0.0693 12 3 61092 10068
1126137 DESIXJ10435937-0035180 160.997384 -0.588329 0.0606 13 27 68265 23352
1126393 DESIXJ10545592-0622288 163.733012 -6.374655 0.0672 130 3 7713 756
1144068 DESIXJ20543655-0212320 313.652292 -2.208887 0.0847 315 3 -4626 543
1152521 DESIXJ12540301-0042550 193.512549 -0.715277 0.0848 45 1 30976 1159
1152853 DESIXJ16081311+4403155 242.054612 44.054300 0.1117 422 25 -26112 2595
1156131 DESIXJ22241336+3045297 336.055676 30.758241 0.0216 85 0 1557 211
1157936 DESIXJ08394122-0251236 129.921738 -2.856561 0.0497 141 21 5183 2923
1158856 DESIXJ12175614+0026098 184.483932 0.436052 0.0032 44 23 -687 830
1159755 DESIXJ09353544-0337069 143.897654 -3.618571 0.0528 112 1 -4994 366
1162430 DESIXJ04395858-0703022 69.994076 -7.050624 0.0140 21 0 5196 183
1167784 DESIXJ14104286+0447083 212.678601 4.785635 0.0850 174 1 2789 443
1169984 DESIXJ15045284+0128488 226.220146 1.480214 0.1323 85 29 43452 20792
1178306 DESIXJ13564520-0008523 209.188329 -0.147870 0.1076 205 2 9411 607
1183677 DESIXJ20541615-0041043 313.567289 -0.684514 0.0528 76 1 2539 474
1197161 DESIXJ12545124+0239113 193.713509 2.653150 0.0032 37 10 137 382
1199594 DESIXJ10362457+0042104 159.102364 0.702884 0.3068 78 26 159028 42121
1205722 DESIXJ08043808+1359040 121.158681 13.984449 0.0376 71 5 1588 1126
1206697 DESIXJ01464852+0041081 26.702149 0.685570 0.0577 31 2 26719 1939
1210091 DESIXJ08505340-0227271 132.722510 -2.457534 0.0109 18 2 2594 532
1214466 DESIXJ11552993-0417090 178.874728 -4.285838 0.0266 35 1 7018 426
1220191 DESIXJ02182790+0229050 34.616270 2.484730 0.0048 27 9 -623 766
1223679 DESIXJ07475546+3402115 116.981103 34.036528 0.0158 32 1 5278 296
1225148 DESIXJ09351073+5710283 143.794722 57.174536 0.0863 143 3 11342 1003
1227698 DESIXJ22525013-1055482 343.208856 -10.930066 0.0657 96 2 3620 702
1228082 DESIXJ08402929+0056579 130.122042 0.949421 0.0595 57 4 13400 2008
1232233 DESIXJ04461958-0654046 71.581587 -6.901283 0.0453 141 3 -1989 470
1246361 DESIXJ16185329+0530323 244.722027 5.508960 0.0645 178 1 1496 386
1247107 DESIXJ12555236-0536527 193.968149 -5.614629 0.0157 69 4 -2935 387
1264361 DESIXJ16275247+3333241 246.968605 33.556704 0.0303 69 3 -1875 646
1264926 DESIXJ12590510-0312144 194.771270 -3.204011 0.0101 44 1 -1113 156
1265162 DESIXJ21241733+0101421 321.072202 1.028356 0.0198 145 6 -3443 322
1266026 DESIXJ11273894-0002443 171.912265 -0.045632 0.0400 144 1 -3698 264
1274185 DESIXJ14272448+0304202 216.851995 3.072280 0.0240 52 2 5165 383
1274956 DESIXJ09433422+0107040 145.892603 1.117777 0.0511 176 1 -2255 360
1283395 DESIXJ15314343+0259024 232.930973 2.983996 0.1214 268 3 -14277 1358
1285415 DESIXJ12272629-0051525 186.859541 -0.864588 0.0405 69 4 6726 1119
1288837 DESIXJ16075472+0742309 241.977986 7.708578 0.1961 549 34 -38539 4518
