SGA_ID,Predicted_Type_spiral,Predicted_Type_elliptical,Predicted_Type_irregular,Predicted_Type_lenticular,Predicted_Type
1172238.0,Other,Other,Irregular,Other,Irregular
1172011.0,Spiral,Other,Other,Other,Spiral
1173167.0,Spiral,Other,Other,Other,Spiral
1173174.0,Spiral,Other,Other,Other,Spiral
1173855.0,Spiral,Other,Other,Other,Spiral
1173837.0,Spiral,Other,Other,Other,Spiral
1173813.0,Spiral,Other,Other,Other,Spiral
1173801.0,Other,Other,Irregular,Other,Irregular
1173678.0,Other,Other,Irregular,Other,Irregular
1173640.0,Spiral,Other,Other,Other,Spiral
1173577.0,Other,Other,Irregular,Other,Irregular
1173556.0,Other,Other,Irregular,Other,Irregular
1173544.0,Other,Other,Irregular,Other,Irregular
1173513.0,Spiral,Other,Other,Other,Spiral
1173507.0,Spiral,Other,Other,Other,Spiral
1173493.0,Spiral,Other,Other,Other,Spiral
1173269.0,Spiral,Other,Other,Other,Spiral
1173279.0,Spiral,Other,Other,Other,Spiral
1173326.0,Spiral,Other,Other,Other,Spiral
1173327.0,Spiral,Other,Other,Other,Spiral
1173416.0,Spiral,Other,Other,Other,Spiral
1173456.0,Other,Other,Irregular,Other,Irregular
1173457.0,Spiral,Other,Other,Other,Spiral
1173458.0,Spiral,Other,Other,Other,Spiral
1173384.0,Other,Other,Irregular,Other,Irregular
1173895.0,Spiral,Other,Other,Other,Spiral
1171958.0,Spiral,Other,Other,Other,Spiral
1171880.0,Spiral,Other,Other,Other,Spiral
1170673.0,Spiral,Other,Other,Other,Spiral
1170585.0,Other,Other,Irregular,Other,Irregular
1170441.0,Spiral,Other,Other,Other,Spiral
1170379.0,Spiral,Other,Other,Other,Spiral
1170347.0,Other,Other,Irregular,Other,Irregular
1170340.0,Spiral,Other,Other,Other,Spiral
1170321.0,Spiral,Other,Other,Other,Spiral
1170308.0,Spiral,Other,Other,Other,Spiral
1170299.0,Spiral,Other,Other,Other,Spiral
1170294.0,Spiral,Other,Other,Other,Spiral
1170240.0,Spiral,Other,Other,Other,Spiral
1170207.0,Spiral,Other,Other,Other,Spiral
1169936.0,Spiral,Other,Other,Other,Spiral
1169984.0,Spiral,Other,Other,Other,Spiral
1169987.0,Spiral,Other,Other,Other,Spiral
1169994.0,Other,Elliptical,Other,Other,Elliptical
1169999.0,Spiral,Other,Other,Other,Spiral
1170773.0,Spiral,Other,Other,Other,Spiral
1170051.0,Spiral,Other,Other,Other,Spiral
1170121.0,Other,Other,Irregular,Other,Irregular
1170135.0,Spiral,Other,Other,Other,Spiral
1170177.0,Spiral,Other,Other,Other,Spiral
1170185.0,Spiral,Other,Other,Other,Spiral
1170083.0,Spiral,Other,Other,Other,Spiral
1170811.0,Spiral,Other,Other,Other,Spiral
1170843.0,Spiral,Other,Other,Other,Spiral
1171832.0,Spiral,Other,Other,Other,Spiral
1171761.0,Spiral,Other,Other,Other,Spiral
1171727.0,Other,Other,Irregular,Other,Irregular
1171702.0,Spiral,Other,Other,Other,Spiral
1171616.0,Spiral,Other,Other,Other,Spiral
1171482.0,Spiral,Other,Other,Other,Spiral
1171475.0,Spiral,Other,Other,Other,Spiral
1171465.0,Spiral,Other,Other,Other,Spiral
1171457.0,Spiral,Other,Other,Other,Spiral
1171451.0,Spiral,Other,Other,Other,Spiral
1171385.0,Spiral,Other,Other,Other,Spiral
1171371.0,Spiral,Other,Other,Other,Spiral
1171337.0,Spiral,Other,Other,Other,Spiral
1171334.0,Spiral,Other,Other,Other,Spiral
1170925.0,Spiral,Other,Other,Other,Spiral
1170936.0,Spiral,Other,Other,Other,Spiral
1171021.0,Other,Other,Irregular,Other,Irregular
1171067.0,Spiral,Other,Other,Other,Spiral
1171173.0,Other,Other,Irregular,Other,Irregular
1171175.0,Spiral,Other,Other,Other,Spiral
1171242.0,Spiral,Other,Other,Other,Spiral
1171270.0,Spiral,Other,Other,Other,Spiral
1171282.0,Spiral,Other,Other,Other,Spiral
1171296.0,Spiral,Other,Other,Other,Spiral
1171332.0,Spiral,Other,Other,Other,Spiral
1173955.0,Spiral,Other,Other,Other,Spiral
1176275.0,Spiral,Other,Other,Other,Spiral
1176266.0,Spiral,Other,Other,Other,Spiral
1176247.0,Spiral,Other,Other,Other,Spiral
1176217.0,Other,Other,Irregular,Other,Irregular
1176212.0,Spiral,Other,Other,Other,Spiral
1176183.0,Other,Other,Irregular,Other,Irregular
1176133.0,Spiral,Other,Other,Other,Spiral
1176132.0,Spiral,Other,Other,Other,Spiral
1176121.0,Other,Other,Irregular,Other,Irregular
1176118.0,Spiral,Other,Other,Other,Spiral
1176088.0,Spiral,Other,Other,Other,Spiral
1176043.0,Spiral,Other,Other,Other,Spiral
1176042.0,Other,Other,Irregular,Other,Irregular
1175987.0,Spiral,Other,Other,Other,Spiral
1175963.0,Spiral,Other,Other,Other,Spiral
1175606.0,Other,Other,Irregular,Other,Irregular
1175637.0,Spiral,Other,Other,Other,Spiral
1175739.0,Spiral,Other,Other,Other,Spiral
1175754.0,Other,Other,Irregular,Other,Irregular
1176346.0,Other,Other,Irregular,Other,Irregular
1175769.0,Other,Other,Irregular,Other,Irregular
1175821.0,Spiral,Other,Other,Other,Spiral
1175834.0,Spiral,Other,Other,Other,Spiral
1175913.0,Other,Other,Irregular,Other,Irregular
1175937.0,Other,Other,Irregular,Other,Irregular
1175795.0,Other,Other,Irregular,Other,Irregular
1176364.0,Other,Other,Irregular,Other,Irregular
1176442.0,Spiral,Other,Other,Other,Spiral
1177401.0,Spiral,Other,Other,Other,Spiral
1177382.0,Spiral,Other,Other,Other,Spiral
1177370.0,Spiral,Other,Other,Other,Spiral
1177235.0,Spiral,Other,Other,Other,Spiral
1177223.0,Spiral,Other,Other,Other,Spiral
1177205.0,Spiral,Other,Other,Other,Spiral
1177183.0,Spiral,Other,Other,Other,Spiral
1177168.0,Spiral,Other,Other,Other,Spiral
1177160.0,Spiral,Other,Other,Other,Spiral
1177127.0,Other,Other,Irregular,Other,Irregular
1177116.0,Spiral,Other,Other,Other,Spiral
1177089.0,Spiral,Other,Other,Other,Spiral
1177086.0,Spiral,Other,Other,Other,Spiral
1176452.0,Spiral,Other,Other,Other,Spiral
1176469.0,Other,Other,Irregular,Other,Irregular
1176501.0,Other,Other,Irregular,Other,Irregular
1176514.0,Spiral,Other,Other,Other,Spiral
1176607.0,Spiral,Other,Other,Other,Spiral
1176651.0,Spiral,Other,Other,Other,Spiral
1176720.0,Spiral,Other,Other,Other,Spiral
1176884.0,Spiral,Other,Other,Other,Spiral
1176906.0,Spiral,Other,Other,Other,Spiral
1176957.0,Spiral,Other,Other,Other,Spiral
1176841.0,Other,Other,Irregular,Other,Irregular
1173952.0,Spiral,Other,Other,Other,Spiral
1175520.0,Spiral,Other,Other,Other,Spiral
