# RA DEC
7.64042 30.2425
7.64083 13.98944
7.64417 13.3625
7.69958 23.1325
7.69667 9.94833
7.71625 27.39333
7.71833 0.53139
7.72208 10.67222
7.72917 24.62389
7.72625 2.03861
7.72792 10.41889
7.7525 0.45528
7.77167 15.35167
7.77375 5.08889
7.775 13.23361
7.7925 30.45167
7.78875 4.50194
7.80458 34.8725
7.82042 28.99222
7.82458 11.2675
7.83625 30.79139
7.845 8.46583
7.85625 3.79667
7.86375 6.20667
7.8775 10.07611
7.87833 7.75833
7.89417 9.16833
7.89458 14.61361
7.93042 0.90333
7.9425 2.71583
7.94708 0.55667
7.94917 1.08306
7.96583 29.71056
7.9675 2.82417
7.9975 14.74028
8.03458 30.41139
8.04583 31.41972
8.04042 7.54972
8.05042 15.34083
8.05333 31.68194
8.065 6.35444
8.06792 12.505
8.12083 24.82528
8.11833 10.60222
8.13417 23.39583
8.13 2.56861
8.14333 22.57611
8.15208 26.4925
8.14833 15.03833
8.17875 13.14639
8.19208 30.74778
8.19 4.07611
8.2025 11.73444
8.23 30.65472
8.24833 29.93528
8.27125 22.20083
8.29625 13.10917
8.30125 17.13111
8.31708 0.20333
8.31542 7.90944
8.31833 3.11722
8.32333 15.14639
8.35167 11.65139
8.365 14.2625
8.36458 7.86972
8.37167 22.9
8.39583 23.39583
8.40333 19.96334
8.40083 2.68139
8.40667 28.73917
8.41875 7.45528
8.42375 14.40833
8.4675 28.75889
8.47875 31.44833
8.50167 36.16472
8.52042 26.31806
8.52333 29.95417
8.56125 25.0325
8.5625 10.09667
8.58292 29.04667
8.59167 5.91639
8.59208 10.20694
8.60125 24.60361
8.60667 24.36361
8.60333 12.26528
8.6225 30.40111
8.62167 8.45972
8.63458 3.60583
8.65875 13.3625
8.69667 31.71278
8.69208 0.115
8.69417 22.7775
8.70458 28.40694
8.69917 3.67889
8.705 7.14028
8.72958 31.95389
8.73 32.09083
8.76125 8.15111
8.76833 0.64111
8.77417 31.47806
8.77667 14.35528
8.77875 23.32056
8.78542 -0.13444
8.79333 29.78972
8.79292 1.91139
8.81125 0.7025
8.85625 3.39361
8.86458 2.93083
8.88125 23.26083
8.87667 1.30639
8.90458 9.12306
8.91417 8.99333
8.9225 26.6175
8.93 11.49111
8.93583 31.80639
8.94417 25.67167
8.94667 24.24111
8.95 13.98167
8.95708 11.92194
8.96708 12.24
8.98042 10.51667
8.98917 24.02833
8.98708 31.87139
8.9875 10.35194
9.02375 23.95667
9.03375 30.01444
9.04 21.46222
9.03625 12.64778
9.04125 4.66
9.05292 35.58611
9.05208 4.85667
9.05542 1.71389
9.0575 32.89778
9.06458 9.79972
9.06917 7.84083
9.07875 12.29139
9.08458 7.83306
9.08792 2.35611
9.09167 6.06694
9.10625 2.43028
9.11583 11.17694
9.12458 26.90278
9.13917 32.75
9.1525 12.60278
9.15375 22.86167
9.16 28.81556
9.18542 35.79111
9.18333 21.62222
9.19125 30.82472
9.19167 21.56417
9.19625 20.60083
9.20542 12.00833
9.22 23.99389
9.23958 12.84944
9.24958 3.43861
9.28 28.83222
9.28542 24.91417
9.2975 35.90167
9.29042 13.055
9.295 -0.06056
9.30708 25.82833
9.30292 1.94278
9.3325 12.73222
9.34167 29.1475
9.34292 6.8375
9.37625 1.91222
9.39292 9.55917
9.3975 9.37583
9.41583 10.36083
9.43417 24.20611
9.43708 6.22583
9.44292 1.75806
9.44333 11.79694
9.445 4.02333
9.45292 14.93639
9.455 17.38139
9.46583 12.02194
9.47292 3.46694
9.47417 32.68806
9.47875 10.6025
9.48875 4.91222
9.49083 5.14917
9.49042 8.63722
9.5 25.565
9.4975 13.26194
9.50292 14.06306
9.5375 11.24472
9.54958 25.39778
9.55042 2.7325
9.58625 32.64167
9.59833 25.43639
9.59375 13.49139
9.59625 15.035
9.60125 13.48167
9.61083 25.62528
9.61083 0.22639
9.61458 -0.00861
9.61708 0.13667
9.62292 29.63583
9.62833 15.23583
9.62708 4.03639
9.63375 30.28555
9.6425 26.34889
9.63958 4.88444
9.64375 12.78833
9.65542 29.45778
9.65167 11.60583
9.66083 29.5875
9.66292 17.40583
9.68292 28.48278
9.6775 14.47361
9.68417 1.3725
9.7 32.4225
9.70542 25.71917
9.72917 7.06139
9.73375 9.145
9.74125 25.64194
9.74292 26.96611
9.74375 1.00861
9.76083 14.60472
9.76042 6.82
9.76625 6.02472
9.77708 25.61028
9.77542 9.05333
9.79 31.85
9.79417 15.1475
9.81458 12.53333
9.81667 0.87528
9.82167 29.65944
